0,paragraph,0
SECTION
0,emotion,0
SECTION
0,image,0
SECTION
0.000,pose,0
17.790,pose,3
45.920,pose,1
52.090,pose,4
52.880,pose,0
57.330,pose,2
59.330,pose,3
73.110,pose,0
85.650,pose,2
SECTION
0,phoneme,m
6.770,phoneme,a
6.875,phoneme,y
6.980,phoneme,a
7.060,phoneme,m
7.220,phoneme,t
7.710,phoneme,a
7.810,phoneme,t
7.820,phoneme,a
7.900,phoneme,t
7.980,phoneme,a
8.040,phoneme,t
8.100,phoneme,a
8.200,phoneme,u
8.470,phoneme,m
11.670,phoneme,t
11.750,phoneme,a
11.850,phoneme,f
11.960,phoneme,u
11.980,phoneme,a
12.050,phoneme,t
12.190,phoneme,f
12.350,phoneme,u
12.410,phoneme,m
12.600,phoneme,t
12.670,phoneme,a
12.720,phoneme,u
12.820,phoneme,a
12.920,phoneme,t
13.000,phoneme,y
13.070,phoneme,u
13.230,phoneme,a
13.350,phoneme,u
13.450,phoneme,a
13.530,phoneme,t
13.770,phoneme,a
13.875,phoneme,u
17.790,phoneme,a
17.865,phoneme,y
17.940,phoneme,a
18.010,phoneme,m
18.150,phoneme,u
18.160,phoneme,a
18.230,phoneme,t
18.380,phoneme,a
18.490,phoneme,u
18.500,phoneme,t
18.580,phoneme,a
18.660,phoneme,t
18.940,phoneme,a
19.060,phoneme,t
19.140,phoneme,a
19.210,phoneme,u
19.280,phoneme,t
19.410,phoneme,a
19.450,phoneme,f
19.540,phoneme,m
19.620,phoneme,a
19.705,phoneme,y
19.900,phoneme,t
19.980,phoneme,m
20.080,phoneme,a
20.115,phoneme,y
20.150,phoneme,t
20.230,phoneme,a
20.300,phoneme,t
20.420,phoneme,f
20.530,phoneme,u
20.635,phoneme,a
20.740,phoneme,t
23.520,phoneme,a
23.600,phoneme,t
23.730,phoneme,a
23.775,phoneme,y
23.820,phoneme,a
23.890,phoneme,m
23.970,phoneme,t
24.030,phoneme,a
24.060,phoneme,u
24.090,phoneme,a
24.140,phoneme,t
24.220,phoneme,u
24.290,phoneme,m
24.420,phoneme,y
24.510,phoneme,a
24.535,phoneme,y
24.560,phoneme,a
24.590,phoneme,t
24.700,phoneme,m
24.800,phoneme,a
24.950,phoneme,t
25.060,phoneme,a
25.170,phoneme,t
25.310,phoneme,u
25.370,phoneme,t
25.440,phoneme,a
25.520,phoneme,u
25.770,phoneme,m
27.270,phoneme,a
27.380,phoneme,t
27.530,phoneme,a
27.610,phoneme,t
27.840,phoneme,a
27.920,phoneme,t
28.010,phoneme,a
28.070,phoneme,t
28.180,phoneme,a
28.310,phoneme,t
29.880,phoneme,a
30.010,phoneme,t
30.170,phoneme,a
30.240,phoneme,y
30.330,phoneme,t
30.420,phoneme,a
30.460,phoneme,y
30.500,phoneme,m
32.600,phoneme,f
32.700,phoneme,u
32.770,phoneme,a
32.805,phoneme,y
