0,paragraph,0
8.760,paragraph,1
27.150,paragraph,2
36.710,paragraph,3
SECTION
0,emotion,0
0.010,emotion,1
1.070,emotion,0
4.890,emotion,0
8.760,emotion,0
13.280,emotion,1
15.420,emotion,1
19.070,emotion,4
21.870,emotion,0
32.160,emotion,1
36.710,emotion,0
SECTION
0,image,0
1.070,image,1
4.890,image,2
8.760,image,4
13.280,image,5
15.420,image,6
19.070,image,7
21.870,image,8
27.150,image,10
32.160,image,11
36.710,image,13
SECTION
0.000,pose,3
1.070,pose,2
1.740,pose,1
4.890,pose,0
8.760,pose,4
13.280,pose,3
15.420,pose,2
16.850,pose,0
19.070,pose,3
21.870,pose,1
22.480,pose,4
27.150,pose,2
32.160,pose,1
34.160,pose,4
36.710,pose,0
38.590,pose,2
SECTION
0,phoneme,m
0.010,phoneme,y
0.110,phoneme,a
0.250,phoneme,y
0.390,phoneme,m
1.070,phoneme,t
1.230,phoneme,a
1.400,phoneme,u
1.740,phoneme,a
1.780,phoneme,y
1.820,phoneme,u
1.890,phoneme,a
1.960,phoneme,t
1.990,phoneme,a
2.050,phoneme,t
2.090,phoneme,a
2.160,phoneme,y
2.270,phoneme,u
2.350,phoneme,a
2.430,phoneme,m
2.470,phoneme,a
2.495,phoneme,u
2.520,phoneme,t
2.560,phoneme,a
2.620,phoneme,u
2.660,phoneme,m
2.750,phoneme,y
2.830,phoneme,a
2.930,phoneme,t
2.990,phoneme,f
3.050,phoneme,u
3.110,phoneme,t
3.150,phoneme,a
3.200,phoneme,t
3.280,phoneme,a
3.370,phoneme,t
3.550,phoneme,a
3.570,phoneme,f
3.640,phoneme,a
3.700,phoneme,t
3.730,phoneme,a
3.770,phoneme,y
3.810,phoneme,a
3.845,phoneme,u
3.880,phoneme,m
3.950,phoneme,u
4.020,phoneme,a
4.090,phoneme,t
4.200,phoneme,a
4.280,phoneme,t
4.890,phoneme,u
4.990,phoneme,a
5.020,phoneme,y
5.050,phoneme,u
5.090,phoneme,a
5.150,phoneme,y
5.190,phoneme,t
5.280,phoneme,u
5.380,phoneme,a
5.405,phoneme,y
5.430,phoneme,a
5.445,phoneme,y
5.460,phoneme,t
5.520,phoneme,a
5.570,phoneme,m
5.670,phoneme,a
5.725,phoneme,y
5.780,phoneme,m
5.870,phoneme,y
5.950,phoneme,a
6.000,phoneme,y
6.050,phoneme,t
6.150,phoneme,a
6.180,phoneme,t
6.240,phoneme,a
6.260,phoneme,u
6.280,phoneme,t
6.340,phoneme,y
6.390,phoneme,a
6.420,phoneme,y
6.450,phoneme,a
6.510,phoneme,t
6.630,phoneme,y
6.690,phoneme,u
6.750,phoneme,t
6.900,phoneme,a
6.940,phoneme,m
7.000,phoneme,a
7.040,phoneme,u
7.080,phoneme,t
7.210,phoneme,a
7.260,phoneme,t
7.330,phoneme,a
7.390,phoneme,t
7.490,phoneme,a
7.550,phoneme,y
7.610,phoneme,m
7.690,phoneme,a
7.800,phoneme,u
7.860,phoneme,t
8.760,phoneme,t
8.840,phoneme,a
8.920,phoneme,t
9.010,phoneme,a
9.100,phoneme,t
9.120,phoneme,a
9.200,phoneme,t
9.330,phoneme,a
9.430,phoneme,t
9.530,phoneme,a
9.650,phoneme,t
9.760,phoneme,a
9.790,phoneme,t
9.850,phoneme,u
9.880,phoneme,a
9.915,phoneme,y
9.950,phoneme,t
9.980,phoneme,a
10.025,phoneme,y
10.070,phoneme,t
10.160,phoneme,a
10.220,phoneme,f
10.300,phoneme,a
10.350,phoneme,t
10.410,phoneme,y
10.480,phoneme,u
10.540,phoneme,a
10.590,phoneme,u
10.640,phoneme,t
10.720,phoneme,u
10.780,phoneme,a
10.820,phoneme,t
10.910,phoneme,a
10.960,phoneme,y
11.050,phoneme,a
11.120,phoneme,t
11.250,phoneme,a
11.290,phoneme,f
11.340,phoneme,t
11.380,phoneme,a
11.420,phoneme,y
11.460,phoneme,a
11.520,phoneme,t
11.600,phoneme,m
11.660,phoneme,u
11.760,phoneme,t
11.900,phoneme,u
11.970,phoneme,a
12.020,phoneme,t
12.190,phoneme,u
12.220,phoneme,a
12.260,phoneme,m
12.310,phoneme,t
12.410,phoneme,u
12.470,phoneme,t
12.550,phoneme,m
12.580,phoneme,a
12.725,phoneme,y
12.870,phoneme,m
13.280,phoneme,y
13.380,phoneme,a
13.430,phoneme,t
13.460,phoneme,m
13.490,phoneme,a
13.525,phoneme,y
13.560,phoneme,a
13.590,phoneme,t
13.690,phoneme,m
13.790,phoneme,y
13.850,phoneme,a
13.885,phoneme,y
13.920,phoneme,t
13.990,phoneme,u
14.030,phoneme,a
14.070,phoneme,t
14.140,phoneme,a
14.170,phoneme,t
14.200,phoneme,a
14.240,phoneme,t
14.350,phoneme,a
14.440,phoneme,m
